year,transactions,median_price,mean_price,min_price,max_price
1995,15519,55000.0,63775.711450480056,100,1200000
1996,19739,57450.0,66540.0919499468,100,839000
1997,22627,63500.0,74445.8252530163,100,1800000
1998,21502,70000.0,83015.6807738815,1000,2700000
1999,24806,79500.0,94130.58191566556,1200,1125000
2000,22028,95000.0,114448.67777374251,10000,1300000
2001,23904,115500.0,132363.09174196786,10755,2937530
2002,25118,138950.0,158653.8989967354,10500,2858000
2003,21755,163000.0,183128.05782578717,12000,1450000
2004,21967,176000.0,199103.30090590433,10000,1850000
2005,18517,185000.0,208601.8027218232,10000,1900000
2006,23997,195000.0,221061.70592157354,10000,2750000
2007,22662,216000.0,244399.02479922338,1630,4000000
2008,10677,215000.0,246202.24220286598,23000,2850000
2009,12781,195000.0,225186.58946874266,30000,5000000
2010,13009,220000.0,252742.55154124068,10000,2750000
2011,12955,215000.0,248002.85565418756,4000,2725000
2012,13158,220000.0,256029.39854081167,19700,2750000
2013,15135,225000.0,260688.56610505452,30000,3350000
2014,17433,245000.0,285626.0792749383,29000,3400000
2015,16724,265000.0,303256.8610978235,21500,2750000
2016,15928,283350.0,326557.7226268207,18000,4600000
2017,15001,300000.0,345187.73208452767,50000,6000000
2018,13872,309950.0,349998.1828143022,55000,4000000
2019,13340,310000.0,353018.5911544228,49000,2800000
2020,12138,325000.0,376444.62942824187,50000,3165000
2021,18279,350000.0,407420.60823896277,57750,5000000
2022,14934,375000.0,434552.2488951386,49000,5250000
2023,11515,370000.0,428560.33790707774,20000,7500000
2024,12532,369075.0,427480.95108522184,44000,5150000
2025,11425,367000.0,423667.2346608315,58500,3800000
2026,804,371586.0,414464.58208955225,65000,2400000
